Gene	BH1	BH2	BH3	BPH1	BPH2	BPH3	BPH4	BPH5	BPH6	HH1	HH2	HH3	HPH1	HPH2	HPH3	HPH4	HPH5	HPH6	SMH1	SMH2	SMH3	SMPH1	SMPH2	SMPH3	SMPH4	SMPH5	SMPH6
STX3	4.787691958	7.323062984	3.055347732	11.72087938	20.62264494	12.41262399	17.85669396	13.80058753	12.29680129	2.603976402	1.367277572	1.573995005	4.835394552	3.143260872	4.885036658	5.647381531	2.61602127	5.573920856	1.352028497	1.236641023	1.080856188	1.302921719	2.9352483	2.077709699	2.637242649	2.409600731	3.185520915
MRPL16	31.47318812	26.83920621	32.81802917	30.66084711	26.86198019	29.2924286	29.34645195	27.74455779	25.84699554	57.23740438	46.44333173	53.71257956	46.48681297	72.01996474	72.29854253	67.42282032	59.52901734	55.02675252	40.59304605	43.08717668	39.56705688	24.91344257	40.40043147	45.15023	27.56460468	34.11306177	28.78552536
PITPNM1	245.7027816	282.677446	274.729679	238.7165953	283.5285293	296.4025488	334.7032369	328.8841314	369.0395406	52.53021627	121.8200211	21.29811992	117.1984739	38.22991036	129.6311091	75.37525554	98.36239975	68.94060007	31.2576112	27.49899116	36.05427427	25.78205705	24.05272913	13.02564157	18.46069855	28.33002002	12.27873517
CDK2AP2	21.81931745	26.6588352	24.33494605	11.63976603	16.74768936	18.99404276	24.15044674	19.06990277	17.54750156	18.02752894	24.65510203	20.80624648	10.48466739	8.329641312	11.54645028	17.97941875	9.824613214	10.81256828	32.41649276	28.37765715	46.82423414	3.316528012	6.278169975	8.031147106	8.272994064	6.437076237	7.384616668
GSTP1	116.0034216	91.19558238	52.26441885	83.22229929	96.51266477	75.56696365	75.52503346	102.662033	66.19269894	41.7136989	54.64699716	45.89179188	65.97201676	49.03486961	53.20249014	40.45369219	95.57197706	54.73338826	45.80801311	76.60665703	78.05325757	93.9288112	40.48196614	39.43652833	51.01077563	75.52377147	48.10136582
NDUFV1	207.0872989	216.9863244	171.2791993	171.4330697	157.0342167	183.0521033	143.4024254	178.0096563	138.042604	447.8839412	493.5872036	372.4957555	751.5926641	867.2649654	866.2058182	672.4994129	1025.538472	645.6109082	327.6415724	322.3727887	309.4722878	441.7694277	434.3352138	524.0623156	316.2523583	590.0079503	386.7511984
NUDT8	1.059571171	0.974003451	1.294029628	8.35467527	5.4840473	5.694802766	5.671695826	12.15168616	7.317104898	1.452217609	1.543700485	2.360992508	9.527163523	7.779570659	8.038105773	8.125314244	11.21982456	14.33293935	0.48286732	0.520690957	0.501826087	2.684808391	4.851313163	3.516124106	3.684914387	5.748618886	5.965611896
COL18A1	52.70385492	32.75537532	31.27238267	45.13958046	38.78239438	40.03412244	29.16349402	40.46977487	31.06382033	10.9166703	11.95265232	12.93627145	32.7945076	21.09913861	74.91869856	57.6839685	29.64824106	30.71942848	10.94499259	8.265968941	13.89672242	26.41377667	31.67622124	38.51754134	35.51245924	30.18885487	34.51946301
SLC19A1	23.5852694	59.84710094	12.83246047	73.16424363	48.04288144	55.27709751	69.45083018	51.72531898	29.47167251	8.462923307	19.27420319	8.361848466	17.04356892	12.73020653	21.18329532	22.58952612	25.40447322	23.63677717	1.899278126	5.95540282	2.277518396	7.343740598	9.213418276	13.46515709	9.176159355	15.49029041	12.65520582
MS4A12	75.70047367	93.64862811	133.9680117	39.42108914	111.7826168	91.6624541	242.1997076	69.7198513	155.0142223	0.801223508	3.572563979	7.624038307	57.49810749	13.39814947	67.19145875	0	28.31116352	20.28404282	0	0.032543185	0	0	0	0	0.036126612	0.034422868	0.028959281
